"human_gene_symbol"	"human_entrez_ID"	"mouse_gene_symbol"	"mouse_entrez_ID"
"HADHB"	"     3032"	"Hadhb"	"   231086"
"HMBS"	"     3145"	"Hmbs"	"    15288"
"HMGCL"	"     3155"	"Hmgcl"	"    15356"
"HPS1"	"     3257"	"Hps1"	"   192236"
"SGSH"	"     6448"	"Sgsh"	"    27029"
"ICAM1"	"     3383"	"Icam1"	"    15894"
"IDS"	"     3423"	"Ids"	"    15931"
"IDUA"	"     3425"	"Idua"	"    15932"
"IL2RG"	"     3561"	"Il2rg"	"    16186"
"ITGB4"	"     3691"	"Itgb4"	"   192897"
"JAG1"	"      182"	"Jag1"	"    16449"
"JAK3"	"     3718"	"Jak3"	"    16453"
"KIT"	"     3815"	"Kit"	"    16590"
"LAMB3"	"     3914"	"Lamb3"	"    16780"
"SGCB"	"     6443"	"Sgcb"	"    24051"
"LIG1"	"     3978"	"Lig1"	"    16881"
"LIPC"	"     3990"	"Lipc"	"    15450"
"LPL"	"     4023"	"Lpl"	"    16956"
"MAOA"	"     4128"	"Maoa"	"    17161"
"MET"	"     4233"	"Met"	"    17295"
"CIITA"	"     4261"	"Ciita"	"    12265"
"MLH1"	"     4292"	"Mlh1"	"    17350"
"MSH2"	"     4436"	"Msh2"	"    17685"
"MTTP"	"     4547"	"Mttp"	"    17777"
"MYBPC3"	"     4607"	"Mybpc3"	"    17868"
"MYO7A"	"     4647"	"Myo7a"	"    17921"
"MYOC"	"     4653"	"Myoc"	"    17926"
"NAGA"	"     4668"	"Naga"	"    17939"
"NAGLU"	"     4669"	"Naglu"	"    27419"
"PTCH1"	"     5727"	"Ptch1"	"    19206"
"NF1"	"     4763"	"Nf1"	"    18015"
"PNP"	"     4860"	"Pnp"	"    18950"
"PNP"	"     4860"	"Pnp2"	"   667034"
"NPC1"	"     4864"	"Npc1"	"    18145"
"NPHP1"	"     4867"	"Nphp1"	"    53885"
"OAT"	"     4942"	"Oat"	"    18242"
"OCRL"	"     4952"	"Ocrl"	"   320634"
"PCCA"	"     5095"	"Pcca"	"   110821"
"PEPD"	"     5184"	"Pepd"	"    18624"
"PEX12"	"     5193"	"Pex12"	"   103737"
"PEX7"	"     5191"	"Pex7"	"    18634"
"PHKA2"	"     5256"	"Phka2"	"   110094"
"PHKB"	"     5257"	"Phkb"	"   102093"
"PKD1"	"     5310"	"Pkd1"	"    18763"
"PLOD1"	"     5351"	"Plod1"	"    18822"
"PMM2"	"     5373"	"Pmm2"	"    54128"
"POU1F1"	"     5449"	"Pou1f1"	"    18736"
"PPOX"	"     5498"	"Ppox"	"    19044"
"PROS1"	"     5627"	"Pros1"	"    19128"
"PTEN"	"     5728"	"Pten"	"    19211"
"PTH1R"	"     5745"	"Pth1r"	"    19228"
"PTS"	"     5805"	"Pts"	"    19286"
"PEX2"	"     5828"	"Pex2"	"    19302"
"PEX5"	"     5830"	"Pex5"	"    19305"
"QDPR"	"     5860"	"Qdpr"	"   110391"
"RB1"	"     5925"	"Rb1"	"    19645"
"ROM1"	"     6094"	"Rom1"	"    19881"
"ATXN1"	"     6310"	"Atxn1"	"    20238"
"SCN4A"	"     6329"	"Scn4a"	"   110880"
"SLC12A1"	"     6557"	"Slc12a1"	"    20495"
"SLC12A3"	"     6559"	"Slc12a3"	"    20497"
"SMN1"	"     6606"	"Smn1"	"    20595"
"SNCA"	"     6622"	"Snca"	"    20617"
"SOX9"	"     6662"	"Sox9"	"    20682"
"SPTB"	"     6710"	"Sptb"	"    20741"
"STAR"	"     6770"	"Star"	"    20845"
"TCN2"	"     6948"	"Tcn2"	"    21452"
"TGM1"	"     7051"	"Tgm1"	"    21816"
"THBD"	"     7056"	"Thbd"	"    21824"
"TNNI3"	"     7137"	"Tnni3"	"    21954"
"TPMT"	"     7172"	"Tpmt"	"    22017"
"TSC1"	"     7248"	"Tsc1"	"    64930"
"TSHR"	"     7253"	"Tshr"	"    22095"
"UMPS"	"     7372"	"Umps"	"    22247"
"UROD"	"     7389"	"Urod"	"    22275"
"XDH"	"     7498"	"Xdh"	"    22436"
"BLMH"	"      642"	"Blmh"	"   104184"
"SLC25A20"	"      788"	"Slc25a20"	"    57279"
"CDKN1A"	"     1026"	"Cdkn1a"	"    12575"
"CHM"	"     1121"	"Chm"	"    12662"
"TPP1"	"     1200"	"Tpp1"	"    12751"
"CSF2RB"	"     1439"	"Csf2rb"	"    12983"
"CSF2RB"	"     1439"	"Csf2rb2"	"    12984"
"ERCC2"	"     2068"	"Ercc2"	"    13871"
"EXT2"	"     2132"	"Ext2"	"    14043"
"GALE"	"     2582"	"Gale"	"    74246"
"GM2A"	"     2760"	"Gm2a"	"    14667"
"GPD2"	"     2820"	"Gpd2"	"    14571"
"GUCA1A"	"     2978"	"Guca1a"	"    14913"
"HSD17B4"	"     3295"	"Hsd17b4"	"    15488"
"IFNGR1"	"     3459"	"Ifngr1"	"    15979"
"IL2RA"	"     3559"	"Il2ra"	"    16184"
"KEL"	"     3792"	"Kel"	"    23925"
"LTBP2"	"     4053"	"Ltbp2"	"    16997"
"PAFAH1B1"	"     5048"	"Pafah1b1"	"    18472"
"MVK"	"     4598"	"Mvk"	"    17855"
"NCF2"	"     4688"	"Ncf2"	"    17970"
"NEU1"	"     4758"	"Neu1"	"    18010"
"NOTCH3"	"     4854"	"Notch3"	"    18131"
"OXCT1"	"     5019"	"Oxct1"	"    67041"
"PDE6A"	"     5145"	"Pde6a"	"   225600"
"PLEC"	"     5339"	"Plec"	"    18810"
"PON2"	"     5445"	"Pon2"	"   330260"
"PSEN2"	"     5664"	"Psen2"	"    19165"
"RAG1"	"     5896"	"Rag1"	"    19373"
"SELE"	"     6401"	"Sele"	"    20339"
"SOD1"	"     6647"	"Sod1"	"    20655"
"STK11"	"     6794"	"Stk11"	"    20869"
"SUOX"	"     6821"	"Suox"	"   211389"
"HNF4A"	"     3172"	"Hnf4a"	"    15378"
"TEK"	"     7010"	"Tek"	"    21687"
"BARD1"	"      580"	"Bard1"	"    12021"
"TWIST1"	"     7291"	"Twist1"	"    22160"
"AMPD3"	"      272"	"Ampd3"	"    11717"
"AMT"	"      275"	"Amt"	"   434437"
"APRT"	"      353"	"Aprt"	"    11821"
"ATRX"	"      546"	"Atrx"	"    22589"
"C1QB"	"      713"	"C1qb"	"    12260"
"F2"	"     2147"	"F2"	"    14061"
"HEXB"	"     3074"	"Hexb"	"    15212"
"KCNJ11"	"     3767"	"Kcnj11"	"    16514"
"VLDLR"	"     7436"	"Vldlr"	"    22359"
"MPZ"	"     4359"	"Mpz"	"    17528"
"PCCB"	"     5096"	"Pccb"	"    66904"
"PLP1"	"     5354"	"Plp1"	"    18823"
"PMS1"	"     5378"	"Pms1"	"   227099"
"RFXAP"	"     5994"	"Rfxap"	"   170767"
"SAG"	"     6295"	"Sag"	"    20215"
"SFTPB"	"     6439"	"Sftpb"	"    20388"
"SMPD1"	"     6609"	"Smpd1"	"    20597"
"TP53"	"     7157"	"Trp53"	"    22059"
"TSC2"	"     7249"	"Tsc2"	"    22084"
"TSHB"	"     7252"	"Tshb"	"    22094"
"VHL"	"     7428"	"Vhl"	"    22346"
"VWF"	"     7450"	"Vwf"	"    22371"
"CRX"	"     1406"	"Crx"	"    12951"
"HBA1"	"     3039"	"Hba-a1"	"    15122"
"HBA2"	"     3040"	"Hba-a2"	"   110257"
"IL5RA"	"     3568"	"Il5ra"	"    16192"
"IL6R"	"     3570"	"Il6ra"	"    16194"
"FCGR1A"	"     2209"	"Fcgr1"	"    14129"
"FCGR3A"	"     2214"	"Fcgr4"	"   246256"
"IL10"	"     3586"	"Il10"	"    16153"
"CD55"	"     1604"	"Cd55b"	"    13137"
"CD55"	"     1604"	"Cd55"	"    13136"
"IL1A"	"     3552"	"Il1a"	"    16175"
"IL1B"	"     3553"	"Il1b"	"    16176"
"IL15"	"     3600"	"Il15"	"    16168"
"IL2"	"     3558"	"Il2"	"    16183"
"IL4"	"     3565"	"Il4"	"    16189"
"CD14"	"      929"	"Cd14"	"    12475"
"TAP1"	"     6890"	"Tap1"	"    21354"
"TNF"	"     7124"	"Tnf"	"    21926"
"IGFBP2"	"     3485"	"Igfbp2"	"    16008"
"IGFBP3"	"     3486"	"Igfbp3"	"    16009"
"IL6"	"     3569"	"Il6"	"    16193"
"HGF"	"     3082"	"Hgf"	"    15234"
"NOS3"	"     4846"	"Nos3"	"    18127"
"C8G"	"      733"	"C8g"	"    69379"
"CD44"	"      960"	"Cd44"	"    12505"
"CD4"	"      920"	"Cd4"	"    12504"
"IGF1"	"     3479"	"Igf1"	"    16000"
"CD79B"	"      974"	"Cd79b"	"    15985"
"LTBP1"	"     4052"	"Ltbp1"	"   268977"
"IL10RB"	"     3588"	"Il10rb"	"    16155"
"IFNAR1"	"     3454"	"Ifnar1"	"    15975"
"NCF4"	"     4689"	"Ncf4"	"    17972"
"BCL2"	"      596"	"Bcl2"	"    12043"
"SOD2"	"     6648"	"Sod2"	"    20656"
"GSR"	"     2936"	"Gsr"	"    14782"
"FASLG"	"      356"	"Fasl"	"    14103"
"IL13RA2"	"     3598"	"Il13ra2"	"    16165"
"AGL"	"      178"	"Agl"	"    77559"
"CCR2"	"   729230"	"Ccr2"	"    12772"
"SELL"	"     6402"	"Sell"	"    20343"
"TGFB1"	"     7040"	"Tgfb1"	"    21803"
"ABAT"	"       18"	"Abat"	"   268860"
"ACHE"	"       43"	"Ache"	"    11423"
"ADORA3"	"      140"	"Adora3"	"    11542"
"AHCY"	"      191"	"Ahcy"	"   269378"
"ALOX12"	"      239"	"Alox12"	"    11684"
"ALOX5"	"      240"	"Alox5"	"    11689"
"ANXA1"	"      301"	"Anxa1"	"    16952"
"ATP1A1"	"      476"	"Atp1a1"	"    11928"
"BCKDHA"	"      593"	"Bckdha"	"    12039"
"BLVRA"	"      644"	"Blvra"	"   109778"
"BLVRB"	"      645"	"Blvrb"	"   233016"
"TSPO"	"      706"	"Tspo"	"    12257"
"CACNA1D"	"      776"	"Cacna1d"	"    12289"
"CACNA2D1"	"      781"	"Cacna2d1"	"    12293"
"CD3D"	"      915"	"Cd3d"	"    12500"
"CD3E"	"      916"	"Cd3e"	"    12501"
"CHRNB1"	"     1140"	"Chrnb1"	"    11443"
"CHRNB2"	"     1141"	"Chrnb2"	"    11444"
"CRAT"	"     1384"	"Crat"	"    12908"
"CSF2"	"     1437"	"Csf2"	"    12981"
"CSF3R"	"     1441"	"Csf3r"	"    12986"
"DCK"	"     1633"	"Dck"	"    13178"
"DDC"	"     1644"	"Ddc"	"    13195"
"DIO2"	"     1734"	"Dio2"	"    13371"
"FGF1"	"     2246"	"Fgf1"	"    14164"
"FOLR2"	"     2350"	"Folr2"	"    14276"
"GAST"	"     2520"	"Gast"	"    14459"
"GART"	"     2618"	"Gart"	"    14450"
"GAS6"	"     2621"	"Gas6"	"    14456"
"GGCX"	"     2677"	"Ggcx"	"    56316"
"GNRH1"	"     2796"	"Gnrh1"	"    14714"
"GRIN2D"	"     2906"	"Grin2d"	"    14814"
"GRM1"	"     2911"	"Grm1"	"    14816"
"GRM8"	"     2918"	"Grm8"	"    14823"
"GSTM3"	"     2947"	"Gstm5"	"    14866"
"GSTP1"	"     2950"	"Gstp1"	"    14870"
"GSTP1"	"     2950"	"Gstp2"	"    14869"
"GSTP1"	"     2950"	"Gstp-ps"	"100042625"
"GUK1"	"     2987"	"Guk1"	"    14923"
"HTR1B"	"     3351"	"Htr1b"	"    15551"
"ICAM2"	"     3384"	"Icam2"	"    15896"
"IGF2R"	"     3482"	"Igf2r"	"    16004"
"IL1R1"	"     3554"	"Il1r1"	"    16177"
"IL7"	"     3574"	"Il7"	"    16196"
"IL12A"	"     3592"	"Il12a"	"    16159"
"ITGB6"	"     3694"	"Itgb6"	"    16420"
"KITLG"	"     4254"	"Kitl"	"    17311"
"MGP"	"     4256"	"Mgp"	"    17313"
"NQO1"	"     1728"	"Nqo1"	"    18104"
"NQO2"	"     4835"	"Nqo2"	"    18105"
"NPY"	"     4852"	"Npy"	"   109648"
"NPR3"	"     4883"	"Npr3"	"    18162"
"PDE3A"	"     5139"	"Pde3a"	"    54611"
"PDE3B"	"     5140"	"Pde3b"	"    18576"
"PDHB"	"     5162"	"Pdhb"	"    68263"
"PGR"	"     5241"	"Pgr"	"    18667"
"PLAT"	"     5327"	"Plat"	"    18791"
"POLR2A"	"     5430"	"Polr2a"	"    20020"
"POLR2B"	"     5431"	"Polr2b"	"   231329"
"POMC"	"     5443"	"Pomc"	"    18976"
"POR"	"     5447"	"Por"	"    18984"
"PPIB"	"     5479"	"Ppib"	"    19035"
"PPIC"	"     5480"	"Ppic"	"    19038"
"PRIM1"	"     5557"	"Prim1"	"    19075"
"PRIM2"	"     5558"	"Prim2"	"    19076"
"PRLR"	"     5618"	"Prlr"	"    19116"
"PRRG1"	"     5638"	"Prrg1"	"   546336"
"PRRG2"	"     5639"	"Prrg2"	"    65116"
"PTGER1"	"     5731"	"Ptger1"	"    19216"
"PTGER2"	"     5732"	"Ptger2"	"    19217"
"PTGFR"	"     5737"	"Ptgfr"	"    19220"
"PTGS1"	"     5742"	"Ptgs1"	"    19224"
"RPL3"	"     6122"	"Rpl3"	"    27367"
"RPL4"	"     6124"	"Rpl4"	"    67891"
"RPL18"	"     6141"	"Rpl18"	"    19899"
"RPL24"	"     6152"	"Rpl24"	"    68193"
"RPL30"	"     6156"	"Rpl30"	"    19946"
"RPL28"	"     6158"	"Rpl28"	"    19943"
"RPS3"	"     6188"	"Rps3"	"    27050"
"RPS5"	"     6193"	"Rps5"	"    20103"
"RPS10"	"     6204"	"Rps10"	"    67097"
"RPS16"	"     6217"	"Rps16"	"    20055"
"RPS23"	"     6228"	"Rps23"	"    66475"
"RRM1"	"     6240"	"Rrm1"	"    20133"
"SCN1B"	"     6324"	"Scn1b"	"    20266"
"SCNN1A"	"     6337"	"Scnn1a"	"    20276"
"SLC6A2"	"     6530"	"Slc6a2"	"    20538"
"SLC6A4"	"     6532"	"Slc6a4"	"    15567"
"TBXA2R"	"     6915"	"Tbxa2r"	"    21390"
"TNFRSF1A"	"     7132"	"Tnfrsf1a"	"    21937"
"TNFRSF1B"	"     7133"	"Tnfrsf1b"	"    21938"
"TOP2A"	"     7153"	"Top2a"	"    21973"
"TUBG1"	"     7283"	"Tubg1"	"   103733"
"TYMS"	"     7298"	"Tyms"	"    22171"
"VCAM1"	"     7412"	"Vcam1"	"    22329"
"ZAP70"	"     7535"	"Zap70"	"    22637"
"ALDH5A1"	"     7915"	"Aldh5a1"	"   214579"
"PDE5A"	"     8654"	"Pde5a"	"   242202"
"PLOD3"	"     8985"	"Plod3"	"    26433"
"AAMP"	"       14"	"Aamp"	"   227290"
"ABCF1"	"       23"	"Abcf1"	"   224742"
"ACLY"	"       47"	"Acly"	"   104112"
"ACO2"	"       50"	"Aco2"	"    11429"
"ACVR2B"	"       93"	"Acvr2b"	"    11481"
"ADAM10"	"      102"	"Adam10"	"    11487"
"ADCY7"	"      113"	"Adcy7"	"    11513"
"ADCY9"	"      115"	"Adcy9"	"    11515"
"MFSD10"	"    10227"	"Mfsd10"	"    68294"
"PLIN2"	"      123"	"Plin2"	"    11520"
"ADM"	"      133"	"Adm"	"    11535"
"ADPRH"	"      141"	"Adprh"	"    11544"
"ADSS"	"      159"	"Adss"	"    11566"
"AEBP1"	"      165"	"Aebp1"	"    11568"
"AGER"	"      177"	"Ager"	"    11596"
"ALOX12B"	"      242"	"Alox12b"	"    11686"
"ALOX15B"	"      247"	"Alox8"	"    11688"
"AMFR"	"      267"	"Amfr"	"    23802"
"NUDT2"	"      318"	"Nudt2"	"    66401"
"APBA1"	"      320"	"Apba1"	"   319924"
"APBB1"	"      322"	"Apbb1"	"    11785"
"BIRC3"	"      330"	"Birc3"	"    11796"
"BIRC2"	"      329"	"Birc2"	"    11797"
"XIAP"	"      331"	"Xiap"	"    11798"
"ARG2"	"      384"	"Arg2"	"    11847"
"ARHGAP5"	"      394"	"Arhgap5"	"    11855"
"ARHGDIA"	"      396"	"Arhgdia"	"   192662"
"ARNTL"	"      406"	"Arntl"	"    11865"
"ART3"	"      419"	"Art3"	"   109979"
"ALDH7A1"	"      501"	"Aldh7a1"	"   110695"
"ATP6AP1"	"      537"	"Atp6ap1"	"    54411"
"BACH1"	"      571"	"Bach1"	"    12013"
"BAK1"	"      578"	"Bak1"	"    12018"
"TNFRSF17"	"      608"	"Tnfrsf17"	"    21935"
"BID"	"      637"	"Bid"	"    12122"
"BIK"	"      638"	"Bik"	"    12124"
"PRDM1"	"      639"	"Prdm1"	"    12142"
"BMP2"	"      650"	"Bmp2"	"    12156"
"BMP3"	"      651"	"Bmp3"	"   110075"
"BMPR2"	"      659"	"Bmpr2"	"    12168"
"BNIP1"	"      662"	"Bnip1"	"   224630"
"KLF9"	"      687"	"Klf9"	"    16601"
"BUB1B"	"      701"	"Bub1b"	"    12236"
"CALU"	"      813"	"Calu"	"    12321"
"CAV2"	"      858"	"Cav2"	"    12390"
"CCNH"	"      902"	"Ccnh"	"    66671"
"CCNT1"	"      904"	"Ccnt1"	"    12455"
"TNFSF8"	"      944"	"Tnfsf8"	"    21949"
"CD40"	"      958"	"Cd40"	"    21939"
"CD68"	"      968"	"Cd68"	"    12514"
"CDC27"	"      996"	"Cdc27"	"   217232"
"CDK6"	"     1021"	"Cdk6"	"    12571"
"CDKN2C"	"     1031"	"Cdkn2c"	"    12580"
"RCBTB2"	"     1102"	"Rcbtb2"	"   105670"
"CHEK1"	"     1111"	"Chek1"	"    12649"
"CHUK"	"     1147"	"Chuk"	"    12675"
"CIRBP"	"     1153"	"Cirbp"	"    12696"
"TBCB"	"     1155"	"Tbcb"	"    66411"
"CLCN6"	"     1185"	"Clcn6"	"    26372"
"CLIC5"	"    53405"	"Clic5"	"   224796"
"LDB2"	"     9079"	"Ldb2"	"    16826"
"CLNS1A"	"     1207"	"Clns1a"	"    12729"
"ACKR2"	"     1238"	"Ackr2"	"    59289"
"CNGA3"	"     1261"	"Cnga3"	"    12790"
"CNN1"	"     1264"	"Cnn1"	"    12797"
"KLF6"	"     1316"	"Klf6"	"    23849"
"CORT"	"     1325"	"Cort"	"    12854"
"CPD"	"     1362"	"Cpd"	"    12874"
"CLDN4"	"     1364"	"Cldn4"	"    12740"
"CPN1"	"     1369"	"Cpn1"	"    93721"
"CREBL2"	"     1389"	"Crebl2"	"   232430"
"CSE1L"	"     1434"	"Cse1l"	"   110750"
"CST6"	"     1474"	"Cst6"	"    73720"
"CSTF1"	"     1477"	"Cstf1"	"    67337"
"CSTF3"	"     1479"	"Cstf3"	"   228410"
"CTBP1"	"     1487"	"Ctbp1"	"    13016"
"CTNND1"	"     1500"	"Ctnnd1"	"    12388"
"CTSO"	"     1519"	"Ctso"	"   229445"
"CTSZ"	"     1522"	"Ctsz"	"    64138"
"CXADR"	"     1525"	"Cxadr"	"    13052"
"DAB2"	"     1601"	"Dab2"	"    13132"
"DAD1"	"     1603"	"Dad1"	"    13135"
"DGKA"	"     1606"	"Dgka"	"    13139"
"DGKG"	"     1608"	"Dgkg"	"   110197"
"DARS"	"     1615"	"Dars"	"   226414"
"DAXX"	"     1616"	"Daxx"	"    13163"
"DBP"	"     1628"	"Dbp"	"    13170"
"DDT"	"     1652"	"Ddt"	"    13202"
"DHX9"	"     1660"	"Dhx9"	"    13211"
"DHX15"	"     1665"	"Dhx15"	"    13204"
"DHCR7"	"     1717"	"Dhcr7"	"    13360"
"DHODH"	"     1723"	"Dhodh"	"    56749"
"DKC1"	"     1736"	"Dkc1"	"   245474"
"DLG4"	"     1742"	"Dlg4"	"    13385"
"DNAH8"	"     1769"	"Dnah8"	"    13417"
"DYNC1H1"	"     1778"	"Dync1h1"	"    13424"
"DOK1"	"     1796"	"Dok1"	"    13448"
"DPAGT1"	"     1798"	"Dpagt1"	"    13478"
"DPH1"	"     1801"	"Dph1"	"   116905"
"DPH2"	"     1802"	"Dph2"	"    67728"
"DRG2"	"     1819"	"Drg2"	"    13495"
"ECM2"	"     1842"	"Ecm2"	"   407800"
"DUSP4"	"     1846"	"Dusp4"	"   319520"
"ECE1"	"     1889"	"Ece1"	"   230857"
"ECH1"	"     1891"	"Ech1"	"    51798"
"S1PR1"	"     1901"	"S1pr1"	"    13609"
"LPAR1"	"     1902"	"Lpar1"	"    14745"
"EFNA2"	"     1943"	"Efna2"	"    13637"
"EFNB3"	"     1949"	"Efnb3"	"    13643"
"CELSR3"	"     1951"	"Celsr3"	"   107934"
"CELSR2"	"     1952"	"Celsr2"	"    53883"
"EIF2B1"	"     1967"	"Eif2b1"	"   209354"
"EMP1"	"     2012"	"Emp1"	"    13730"
"EMP2"	"     2013"	"Emp2"	"    13731"
"EMP3"	"     2014"	"Emp3"	"    13732"
"EP300"	"     2033"	"Ep300"	"   328572"
"EPAS1"	"     2034"	"Epas1"	"    13819"
"EREG"	"     2069"	"Ereg"	"    13874"
"FBL"	"     2091"	"Fbl"	"    14113"
"EXTL2"	"     2135"	"Extl2"	"    58193"
"EXTL3"	"     2137"	"Extl3"	"    54616"
"FLNA"	"     2316"	"Flna"	"   192176"
"ADAM2"	"     2515"	"Adam2"	"    11495"
"GABBR1"	"     2550"	"Gabbr1"	"    54393"
"B4GALNT1"	"     2583"	"B4galnt1"	"    14421"
"GAS8"	"     2622"	"Gas8"	"   104346"
"GATM"	"     2628"	"Gatm"	"    67092"
"BLOC1S1"	"     2647"	"Bloc1s1"	"    14533"
"GFRA2"	"     2675"	"Gfra2"	"    14586"
"GCLC"	"     2729"	"Gclc"	"    14629"
"GPLD1"	"     2822"	"Gpld1"	"    14756"
"CXCR3"	"     2833"	"Cxcr3"	"    12766"
"GPX5"	"     2880"	"Gpx5"	"    14780"
"GTF2B"	"     2959"	"Gtf2b"	"   229906"
"GTF2H2"	"     2966"	"Gtf2h2"	"    23894"
"GTF2H3"	"     2967"	"Gtf2h3"	"   209357"
"BRF1"	"     2972"	"Brf1"	"    72308"
"HAS1"	"     3036"	"Has1"	"    15116"
"HIF1A"	"     3091"	"Hif1a"	"    15251"
"HNRNPL"	"     3191"	"Hnrnpl"	"    15388"
"HSPB1"	"     3315"	"Hspb1"	"    15507"
"IGSF3"	"     3321"	"Igsf3"	"    78908"
"MRPL58"	"     3396"	"Mrpl58"	"    68572"
"ID4"	"     3400"	"Id4"	"    15904"
"IFIT2"	"     3433"	"Ifit2"	"    15958"
"IFIT3"	"     3437"	"Ifit3"	"    15959"
"IFIT3"	"     3437"	"Ifit3b"	"   667370"
"IGFBP4"	"     3487"	"Igfbp4"	"    16010"
"IGFBP7"	"     3490"	"Igfbp7"	"    29817"
"IL10RA"	"     3587"	"Il10ra"	"    16154"
"IL12RB2"	"     3595"	"Il12rb2"	"    16162"
"IL13RA1"	"     3597"	"Il13ra1"	"    16164"
"TNFRSF9"	"     3604"	"Tnfrsf9"	"    21942"
"IL18"	"     3606"	"Il18"	"    16173"
"CXCL10"	"     3627"	"Cxcl10"	"    15945"
"INPPL1"	"     3636"	"Inppl1"	"    16332"
"EIF3E"	"     3646"	"Eif3e"	"    16341"
"IRAK2"	"     3656"	"Irak2"	"   108960"
"IRF3"	"     3661"	"Irf3"	"    54131"
"AARS"	"       16"	"Aars"	"   234734"
"ACADSB"	"       36"	"Acadsb"	"    66885"
"ACP2"	"       53"	"Acp2"	"    11432"
"ACRV1"	"       56"	"Acrv1"	"    11451"
"ADD2"	"      119"	"Add2"	"    11519"
"PARP1"	"      142"	"Parp1"	"    11545"
"GRK2"	"      156"	"Grk2"	"   110355"
"AHR"	"      196"	"Ahr"	"    11622"
"AIF1"	"      199"	"Aif1"	"    11629"
"AK2"	"      204"	"Ak2"	"    11637"
"ALCAM"	"      214"	"Alcam"	"    11658"
"ALOX5AP"	"      241"	"Alox5ap"	"    11690"
"AMBP"	"      259"	"Ambp"	"    11699"
"AMD1"	"      262"	"Amd1"	"    11702"
"AMD1"	"      262"	"Amd2"	"100041585"
"AOAH"	"      313"	"Aoah"	"    27052"
"APEH"	"      327"	"Apeh"	"   235606"
