"drugID"	"drug_name"	"status"	"Swiss_target_ID"	"target_name"	"gene_symbol"	"target_organism"	"drug_action"
"DB00011"	"Interferon alfa-n1"	"approved, investigational"	"P48551"	"Interferon alpha/beta receptor 2"	"IFNAR2"	"agonist"	"Humans"
"DB00011"	"Interferon alfa-n1"	"approved, investigational"	"P17181"	"Interferon alpha/beta receptor 1"	"IFNAR1"	"agonist"	"Humans"
"DB00012"	"Darbepoetin alfa"	"approved, investigational"	"P19235"	"Erythropoietin receptor"	"EPOR"	"agonist"	"Humans"
"DB00013"	"Urokinase"	"approved, investigational, withdrawn"	"P00747"	"Plasminogen"	"PLG"	"activator"	"Humans"
"DB00013"	"Urokinase"	"approved, investigational, withdrawn"	"Q03405"	"Urokinase plasminogen activator surface receptor"	"PLAUR"	NA	"Humans"
"DB00013"	"Urokinase"	"approved, investigational, withdrawn"	"P00749"	"Urokinase-type plasminogen activator"	"PLAU"	NA	"Humans"
"DB00013"	"Urokinase"	"approved, investigational, withdrawn"	"P00750"	"Tissue-type plasminogen activator"	"PLAT"	NA	"Humans"
"DB00013"	"Urokinase"	"approved, investigational, withdrawn"	"P05121"	"Plasminogen activator inhibitor 1"	"SERPINE1"	NA	"Humans"
"DB00013"	"Urokinase"	"approved, investigational, withdrawn"	"P05120"	"Plasminogen activator inhibitor 2"	"SERPINB2"	NA	"Humans"
"DB00013"	"Urokinase"	"approved, investigational, withdrawn"	"P05154"	"Plasma serine protease inhibitor"	"SERPINA5"	NA	"Humans"
"DB00013"	"Urokinase"	"approved, investigational, withdrawn"	"P98164"	"Low-density lipoprotein receptor-related protein 2"	"LRP2"	NA	"Humans"
"DB00013"	"Urokinase"	"approved, investigational, withdrawn"	"Q9Y5Y6"	"Suppressor of tumorigenicity 14 protein"	"ST14"	NA	"Humans"
"DB00013"	"Urokinase"	"approved, investigational, withdrawn"	"P14543"	"Nidogen-1"	"NID1"	NA	"Humans"
"DB00014"	"Goserelin"	"approved"	"P22888"	"Lutropin-choriogonadotropic hormone receptor"	"LHCGR"	"agonist"	"Humans"
"DB00014"	"Goserelin"	"approved"	"P30968"	"Gonadotropin-releasing hormone receptor"	"GNRHR"	"agonist"	"Humans"
"DB00015"	"Reteplase"	"approved, investigational"	"P00747"	"Plasminogen"	"PLG"	"activator"	"Humans"
"DB00015"	"Reteplase"	"approved, investigational"	"P02671"	"Fibrinogen alpha chain"	"FGA"	NA	"Humans"
"DB00015"	"Reteplase"	"approved, investigational"	"Q03405"	"Urokinase plasminogen activator surface receptor"	"PLAUR"	NA	"Humans"
"DB00015"	"Reteplase"	"approved, investigational"	"P05121"	"Plasminogen activator inhibitor 1"	"SERPINE1"	NA	"Humans"
"DB00016"	"Erythropoietin"	"approved"	"P19235"	"Erythropoietin receptor"	"EPOR"	"agonist"	"Humans"
"DB00017"	"Salmon Calcitonin"	"approved, investigational"	"P30988"	"Calcitonin receptor"	"CALCR"	"agonist"	"Humans"
"DB00018"	"Interferon alfa-n3"	"approved, investigational"	"P17181"	"Interferon alpha/beta receptor 1"	"IFNAR1"	"agonist"	"Humans"
"DB00018"	"Interferon alfa-n3"	"approved, investigational"	"P48551"	"Interferon alpha/beta receptor 2"	"IFNAR2"	"agonist"	"Humans"
"DB00019"	"Pegfilgrastim"	"approved"	"Q99062"	"Granulocyte colony-stimulating factor receptor"	"CSF3R"	"agonist"	"Humans"
"DB00019"	"Pegfilgrastim"	"approved"	"P08246"	"Neutrophil elastase"	"ELANE"	NA	"Humans"
"DB00020"	"Sargramostim"	"approved, investigational"	"P15509"	"Granulocyte-macrophage colony-stimulating factor receptor subunit alpha"	"CSF2RA"	"agonist"	"Humans"
"DB00020"	"Sargramostim"	"approved, investigational"	"P26951"	"Interleukin-3 receptor subunit alpha"	"IL3RA"	"agonist"	"Humans"
"DB00020"	"Sargramostim"	"approved, investigational"	"P32927"	"Cytokine receptor common subunit beta"	"CSF2RB"	"agonist"	"Humans"
"DB00020"	"Sargramostim"	"approved, investigational"	"P34741"	"Syndecan-2"	"SDC2"	"agonist"	"Humans"
"DB00020"	"Sargramostim"	"approved, investigational"	"P13727"	"Bone marrow proteoglycan"	"PRG2"	NA	"Humans"
"DB00022"	"Peginterferon alfa-2b"	"approved"	"P17181"	"Interferon alpha/beta receptor 1"	"IFNAR1"	"agonist"	"Humans"
"DB00022"	"Peginterferon alfa-2b"	"approved"	"P48551"	"Interferon alpha/beta receptor 2"	"IFNAR2"	"agonist"	"Humans"
"DB00023"	"Asparaginase Escherichia coli"	"approved, investigational"	NA	NA	NA	"other/unknown"	"Humans"
"DB00024"	"Thyrotropin alfa"	"approved, vet_approved"	"P16473"	"Thyrotropin receptor"	"TSHR"	"agonist"	"Humans"
"DB00025"	"Antihemophilic factor, human recombinant"	"approved, investigational"	"P00742"	"Coagulation factor X"	"F10"	"activator"	"Humans"
"DB00025"	"Antihemophilic factor, human recombinant"	"approved, investigational"	"P00740"	"Coagulation factor IX"	"F9"	"cofactor"	"Humans"
"DB00025"	"Antihemophilic factor, human recombinant"	"approved, investigational"	"P04275"	"von Willebrand factor"	"VWF"	"binder"	"Humans"
"DB00025"	"Antihemophilic factor, human recombinant"	"approved, investigational"	"O14832"	"Phytanoyl-CoA dioxygenase, peroxisomal"	"PHYH"	"antagonist"	"Humans"
"DB00025"	"Antihemophilic factor, human recombinant"	"approved, investigational"	"P07307"	"Asialoglycoprotein receptor 2"	"ASGR2"	"binder"	"Humans"
"DB00025"	"Antihemophilic factor, human recombinant"	"approved, investigational"	"P11021"	"78 kDa glucose-regulated protein"	"HSPA5"	"chaperone"	"Humans"
"DB00025"	"Antihemophilic factor, human recombinant"	"approved, investigational"	"P27797"	"Calreticulin"	"CALR"	"chaperone"	"Humans"
"DB00025"	"Antihemophilic factor, human recombinant"	"approved, investigational"	"P27824"	"Calnexin"	"CANX"	"chaperone"	"Humans"
"DB00025"	"Antihemophilic factor, human recombinant"	"approved, investigational"	"P49257"	"Protein ERGIC-53"	"LMAN1"	"chaperone"	"Humans"
"DB00025"	"Antihemophilic factor, human recombinant"	"approved, investigational"	"Q07954"	"Prolow-density lipoprotein receptor-related protein 1"	"LRP1"	"modulator"	"Humans"
"DB00025"	"Antihemophilic factor, human recombinant"	"approved, investigational"	"Q8NI22"	"Multiple coagulation factor deficiency protein 2"	"MCFD2"	"modulator"	"Humans"
"DB00026"	"Anakinra"	"approved"	"P14778"	"Interleukin-1 receptor type 1"	"IL1R1"	"antagonist"	"Humans"
"DB00027"	"Gramicidin D"	"approved"	NA	NA	NA	NA	NA
"DB00028"	"Immune Globulin Human"	"approved, investigational"	"P12314"	"High affinity immunoglobulin gamma Fc receptor I"	"FCGR1A"	"antagonist"	"Humans"
"DB00028"	"Immune Globulin Human"	"approved, investigational"	"Q92637"	"High affinity immunoglobulin gamma Fc receptor IB"	"FCGR1B"	"antagonist"	"Humans"
"DB00028"	"Immune Globulin Human"	"approved, investigational"	"P12318"	"Low affinity immunoglobulin gamma Fc region receptor II-a"	"FCGR2A"	"antagonist"	"Humans"
"DB00028"	"Immune Globulin Human"	"approved, investigational"	"P31994"	"Low affinity immunoglobulin gamma Fc region receptor II-b"	"FCGR2B"	"antagonist"	"Humans"
"DB00028"	"Immune Globulin Human"	"approved, investigational"	"P31995"	"Low affinity immunoglobulin gamma Fc region receptor II-c"	"FCGR2C"	"antagonist"	"Humans"
"DB00028"	"Immune Globulin Human"	"approved, investigational"	"P08637"	"Low affinity immunoglobulin gamma Fc region receptor III-A"	"FCGR3A"	"antagonist"	"Humans"
"DB00028"	"Immune Globulin Human"	"approved, investigational"	"O75015"	"Low affinity immunoglobulin gamma Fc region receptor III-B"	"FCGR3B"	"antagonist"	"Humans"
"DB00028"	"Immune Globulin Human"	"approved, investigational"	"P01024"	"Complement C3"	"C3"	"binder"	"Humans"
"DB00028"	"Immune Globulin Human"	"approved, investigational"	"P0C0L4"	"Complement C4-A"	"C4A"	"binder"	"Humans"
"DB00028"	"Immune Globulin Human"	"approved, investigational"	"P0C0L5"	"Complement C4-B"	"C4B"	"binder"	"Humans"
"DB00028"	"Immune Globulin Human"	"approved, investigational"	"P01031"	"Complement C5"	"C5"	"binder"	"Humans"
"DB00029"	"Anistreplase"	"approved"	"P00747"	"Plasminogen"	"PLG"	"activator"	"Humans"
"DB00029"	"Anistreplase"	"approved"	"P02671"	"Fibrinogen alpha chain"	"FGA"	NA	"Humans"
"DB00029"	"Anistreplase"	"approved"	"Q03405"	"Urokinase plasminogen activator surface receptor"	"PLAUR"	NA	"Humans"
"DB00029"	"Anistreplase"	"approved"	"P05121"	"Plasminogen activator inhibitor 1"	"SERPINE1"	NA	"Humans"
"DB00030"	"Insulin Human"	"approved, investigational"	"P06213"	"Insulin receptor"	"INSR"	"agonist"	"Humans"
"DB00030"	"Insulin Human"	"approved, investigational"	"P08069"	"Insulin-like growth factor 1 receptor"	"IGF1R"	NA	"Humans"
"DB00030"	"Insulin Human"	"approved, investigational"	"P06400"	"Retinoblastoma-associated protein"	"RB1"	NA	"Humans"
"DB00031"	"Tenecteplase"	"approved"	"P00747"	"Plasminogen"	"PLG"	"activator"	"Humans"
"DB00031"	"Tenecteplase"	"approved"	"P02671"	"Fibrinogen alpha chain"	"FGA"	NA	"Humans"
"DB00031"	"Tenecteplase"	"approved"	"Q03405"	"Urokinase plasminogen activator surface receptor"	"PLAUR"	NA	"Humans"
"DB00031"	"Tenecteplase"	"approved"	"P05121"	"Plasminogen activator inhibitor 1"	"SERPINE1"	NA	"Humans"
"DB00031"	"Tenecteplase"	"approved"	"P05120"	"Plasminogen activator inhibitor 2"	"SERPINB2"	NA	"Humans"
"DB00031"	"Tenecteplase"	"approved"	"P05452"	"Tetranectin"	"CLEC3B"	NA	"Humans"
"DB00031"	"Tenecteplase"	"approved"	"P05787"	"Keratin, type II cytoskeletal 8"	"KRT8"	NA	"Humans"
"DB00031"	"Tenecteplase"	"approved"	"P07355"	"Annexin A2"	"ANXA2"	NA	"Humans"
"DB00031"	"Tenecteplase"	"approved"	"P27797"	"Calreticulin"	"CALR"	NA	"Humans"
"DB00031"	"Tenecteplase"	"approved"	"P27824"	"Calnexin"	"CANX"	NA	"Humans"
"DB00031"	"Tenecteplase"	"approved"	"Q07954"	"Prolow-density lipoprotein receptor-related protein 1"	"LRP1"	NA	"Humans"
"DB00032"	"Menotropins"	"approved"	"P23945"	"Follicle-stimulating hormone receptor"	"FSHR"	"binder"	"Humans"
"DB00032"	"Menotropins"	"approved"	"P22888"	"Lutropin-choriogonadotropic hormone receptor"	"LHCGR"	NA	"Humans"
"DB00033"	"Interferon gamma-1b"	"approved, investigational"	"P15260"	"Interferon gamma receptor 1"	"IFNGR1"	"binder"	"Humans"
"DB00033"	"Interferon gamma-1b"	"approved, investigational"	"P38484"	"Interferon gamma receptor 2"	"IFNGR2"	"binder"	"Humans"
"DB00034"	"Interferon Alfa-2a, Recombinant"	"approved, investigational"	"P17181"	"Interferon alpha/beta receptor 1"	"IFNAR1"	NA	"Humans"
"DB00034"	"Interferon Alfa-2a, Recombinant"	"approved, investigational"	"P48551"	"Interferon alpha/beta receptor 2"	"IFNAR2"	NA	"Humans"
"DB00035"	"Desmopressin"	"approved"	"P30518"	"Vasopressin V2 receptor"	"AVPR2"	"agonist"	"Humans"
"DB00035"	"Desmopressin"	"approved"	"P37288"	"Vasopressin V1a receptor"	"AVPR1A"	NA	"Humans"
"DB00035"	"Desmopressin"	"approved"	"P47901"	"Vasopressin V1b receptor"	"AVPR1B"	NA	"Humans"
"DB00036"	"Coagulation factor VIIa Recombinant Human"	"approved"	"P00742"	"Coagulation factor X"	"F10"	NA	"Humans"
"DB00036"	"Coagulation factor VIIa Recombinant Human"	"approved"	"P05981"	"Serine protease hepsin"	"HPN"	NA	"Humans"
"DB00036"	"Coagulation factor VIIa Recombinant Human"	"approved"	"P10646"	"Tissue factor pathway inhibitor"	"TFPI"	NA	"Humans"
"DB00036"	"Coagulation factor VIIa Recombinant Human"	"approved"	"P38435"	"Vitamin K-dependent gamma-carboxylase"	"GGCX"	NA	"Humans"
"DB00036"	"Coagulation factor VIIa Recombinant Human"	"approved"	"P08709"	"Coagulation factor VII"	"F7"	NA	"Humans"
"DB00036"	"Coagulation factor VIIa Recombinant Human"	"approved"	"P13726"	"Tissue factor"	"F3"	NA	"Humans"
"DB00038"	"Oprelvekin"	"approved, investigational"	"Q14626"	"Interleukin-11 receptor subunit alpha"	"IL11RA"	"agonist"	"Humans"
"DB00039"	"Palifermin"	"approved"	"P21802"	"Fibroblast growth factor receptor 2"	"FGFR2"	"binder"	"Humans"
"DB00039"	"Palifermin"	"approved"	"O14786"	"Neuropilin-1"	"NRP1"	NA	"Humans"
"DB00039"	"Palifermin"	"approved"	"P11362"	"Fibroblast growth factor receptor 1"	"FGFR1"	NA	"Humans"
"DB00039"	"Palifermin"	"approved"	"P22455"	"Fibroblast growth factor receptor 4"	"FGFR4"	NA	"Humans"
"DB00039"	"Palifermin"	"approved"	"P22607"	"Fibroblast growth factor receptor 3"	"FGFR3"	NA	"Humans"
"DB00039"	"Palifermin"	"approved"	"P98160"	"Basement membrane-specific heparan sulfate proteoglycan core protein"	"HSPG2"	NA	"Humans"
"DB00040"	"Glucagon"	"approved"	"P47871"	"Glucagon receptor"	"GCGR"	"agonist"	"Humans"
"DB00040"	"Glucagon"	"approved"	"O95838"	"Glucagon-like peptide 2 receptor"	"GLP2R"	NA	"Humans"
"DB00040"	"Glucagon"	"approved"	"P43220"	"Glucagon-like peptide 1 receptor"	"GLP1R"	NA	"Humans"
"DB00041"	"Aldesleukin"	"approved"	"P14784"	"Interleukin-2 receptor subunit beta"	"IL2RB"	"agonist, modulator"	"Humans"
"DB00041"	"Aldesleukin"	"approved"	"P01589"	"Interleukin-2 receptor subunit alpha"	"IL2RA"	"agonist, modulator"	"Humans"
"DB00041"	"Aldesleukin"	"approved"	"P31785"	"Cytokine receptor common subunit gamma"	"IL2RG"	"agonist"	"Humans"
"DB00042"	"Botulinum Toxin Type B"	"approved, investigational"	"P63027"	"Vesicle-associated membrane protein 2"	"VAMP2"	"binder"	"Humans"
"DB00042"	"Botulinum Toxin Type B"	"approved, investigational"	"P23763"	"Vesicle-associated membrane protein 1"	"VAMP1"	"binder"	"Humans"
"DB00042"	"Botulinum Toxin Type B"	"approved, investigational"	"Q8N9I0"	"Synaptotagmin-2"	"SYT2"	NA	"Humans"
"DB00043"	"Omalizumab"	"approved, investigational"	"P12319"	"High affinity immunoglobulin epsilon receptor subunit alpha"	"FCER1A"	"inhibitor"	"Humans"
"DB00043"	"Omalizumab"	"approved, investigational"	"Q01362"	"High affinity immunoglobulin epsilon receptor subunit beta"	"MS4A2"	"inhibitor"	"Humans"
"DB00044"	"Lutropin alfa"	"approved"	"P22888"	"Lutropin-choriogonadotropic hormone receptor"	"LHCGR"	"agonist"	"Humans"
"DB00045"	"Lyme disease vaccine (recombinant OspA)"	"approved, withdrawn"	"O60603"	"Toll-like receptor 2"	"TLR2"	"other/unknown"	"Humans"
"DB00046"	"Insulin Lispro"	"approved"	"P06213"	"Insulin receptor"	"INSR"	"agonist"	"Humans"
"DB00046"	"Insulin Lispro"	"approved"	"P08069"	"Insulin-like growth factor 1 receptor"	"IGF1R"	NA	"Humans"
"DB00047"	"Insulin glargine"	"approved"	"P06213"	"Insulin receptor"	"INSR"	"agonist"	"Humans"
"DB00047"	"Insulin glargine"	"approved"	"P08069"	"Insulin-like growth factor 1 receptor"	"IGF1R"	NA	"Humans"
"DB00048"	"Collagenase clostridium histolyticum"	"approved, investigational"	"P02452"	"Collagen alpha-1(I) chain"	"COL1A1"	NA	"Humans"
"DB00048"	"Collagenase clostridium histolyticum"	"approved, investigational"	"P02458"	"Collagen alpha-1(II) chain"	"COL2A1"	NA	"Humans"
"DB00048"	"Collagenase clostridium histolyticum"	"approved, investigational"	"P02461"	"Collagen alpha-1(III) chain"	"COL3A1"	NA	"Humans"
"DB00048"	"Collagenase clostridium histolyticum"	"approved, investigational"	"P08123"	"Collagen alpha-2(I) chain"	"COL1A2"	NA	"Humans"
"DB00049"	"Rasburicase"	"approved, investigational"	NA	NA	NA	"metabolizer"	"Humans"
"DB00050"	"Cetrorelix"	"approved, investigational"	"P30968"	"Gonadotropin-releasing hormone receptor"	"GNRHR"	"antagonist"	"Humans"
"DB00050"	"Cetrorelix"	"approved, investigational"	"P22888"	"Lutropin-choriogonadotropic hormone receptor"	"LHCGR"	NA	"Humans"
"DB00051"	"Adalimumab"	"approved"	"P01375"	"Tumor necrosis factor"	"TNF"	"antibody"	"Humans"
"DB00052"	"Somatotropin"	"approved, investigational"	"P10912"	"Growth hormone receptor"	"GHR"	"binder"	"Humans"
"DB00052"	"Somatotropin"	"approved, investigational"	"P16471"	"Prolactin receptor"	"PRLR"	NA	"Humans"
"DB00053"	"Imiglucerase"	"approved"	NA	NA	NA	"other/unknown"	"Humans"
"DB00054"	"Abciximab"	"approved"	"P05106"	"Integrin beta-3"	"ITGB3"	"antagonist"	"Humans"
"DB00054"	"Abciximab"	"approved"	"P08514"	"Integrin alpha-IIb"	"ITGA2B"	"antagonist"	"Humans"
"DB00054"	"Abciximab"	"approved"	"O75015"	"Low affinity immunoglobulin gamma Fc region receptor III-B"	"FCGR3B"	NA	"Humans"
"DB00054"	"Abciximab"	"approved"	"P00736"	"Complement C1r subcomponent"	"C1R"	NA	"Humans"
"DB00054"	"Abciximab"	"approved"	"P02745"	"Complement C1q subcomponent subunit A"	"C1QA"	NA	"Humans"
"DB00054"	"Abciximab"	"approved"	"P02746"	"Complement C1q subcomponent subunit B"	"C1QB"	NA	"Humans"
"DB00054"	"Abciximab"	"approved"	"P02747"	"Complement C1q subcomponent subunit C"	"C1QC"	NA	"Humans"
"DB00054"	"Abciximab"	"approved"	"P08637"	"Low affinity immunoglobulin gamma Fc region receptor III-A"	"FCGR3A"	NA	"Humans"
"DB00054"	"Abciximab"	"approved"	"P09871"	"Complement C1s subcomponent"	"C1S"	NA	"Humans"
"DB00054"	"Abciximab"	"approved"	"P12314"	"High affinity immunoglobulin gamma Fc receptor I"	"FCGR1A"	NA	"Humans"
"DB00054"	"Abciximab"	"approved"	"P12318"	"Low affinity immunoglobulin gamma Fc region receptor II-a"	"FCGR2A"	NA	"Humans"
"DB00054"	"Abciximab"	"approved"	"P31994"	"Low affinity immunoglobulin gamma Fc region receptor II-b"	"FCGR2B"	NA	"Humans"
"DB00054"	"Abciximab"	"approved"	"P31995"	"Low affinity immunoglobulin gamma Fc region receptor II-c"	"FCGR2C"	NA	"Humans"
"DB00054"	"Abciximab"	"approved"	"P04004"	"Vitronectin"	"VTN"	NA	"Humans"
"DB00055"	"Drotrecogin alfa"	"approved, investigational, withdrawn"	"P00451"	"Coagulation factor VIII"	"F8"	"multitarget"	"Humans"
"DB00055"	"Drotrecogin alfa"	"approved, investigational, withdrawn"	"P12259"	"Coagulation factor V"	"F5"	"multitarget"	"Humans"
"DB00055"	"Drotrecogin alfa"	"approved, investigational, withdrawn"	"P05121"	"Plasminogen activator inhibitor 1"	"SERPINE1"	NA	"Humans"
"DB00055"	"Drotrecogin alfa"	"approved, investigational, withdrawn"	"P07204"	"Thrombomodulin"	"THBD"	NA	"Humans"
"DB00055"	"Drotrecogin alfa"	"approved, investigational, withdrawn"	"P07225"	"Vitamin K-dependent protein S"	"PROS1"	NA	"Humans"
"DB00055"	"Drotrecogin alfa"	"approved, investigational, withdrawn"	"P00450"	"Ceruloplasmin"	"CP"	NA	"Humans"
"DB00055"	"Drotrecogin alfa"	"approved, investigational, withdrawn"	"P00734"	"Prothrombin"	"F2"	NA	"Humans"
"DB00055"	"Drotrecogin alfa"	"approved, investigational, withdrawn"	"P02776"	"Platelet factor 4"	"PF4"	NA	"Humans"
"DB00055"	"Drotrecogin alfa"	"approved, investigational, withdrawn"	"P05154"	"Plasma serine protease inhibitor"	"SERPINA5"	NA	"Humans"
"DB00055"	"Drotrecogin alfa"	"approved, investigational, withdrawn"	"P35237"	"Serpin B6"	"SERPINB6"	NA	"Humans"
"DB00055"	"Drotrecogin alfa"	"approved, investigational, withdrawn"	"P38435"	"Vitamin K-dependent gamma-carboxylase"	"GGCX"	NA	"Humans"
"DB00055"	"Drotrecogin alfa"	"approved, investigational, withdrawn"	"Q9UNN8"	"Endothelial protein C receptor"	"PROCR"	NA	"Humans"
"DB00056"	"Gemtuzumab ozogamicin"	"approved, investigational"	"P20138"	"Myeloid cell surface antigen CD33"	"CD33"	"antibody"	"Humans"
"DB00056"	"Gemtuzumab ozogamicin"	"approved, investigational"	"O75015"	"Low affinity immunoglobulin gamma Fc region receptor III-B"	"FCGR3B"	NA	"Humans"
"DB00056"	"Gemtuzumab ozogamicin"	"approved, investigational"	"P00736"	"Complement C1r subcomponent"	"C1R"	NA	"Humans"
"DB00056"	"Gemtuzumab ozogamicin"	"approved, investigational"	"P02745"	"Complement C1q subcomponent subunit A"	"C1QA"	NA	"Humans"
"DB00056"	"Gemtuzumab ozogamicin"	"approved, investigational"	"P02746"	"Complement C1q subcomponent subunit B"	"C1QB"	NA	"Humans"
"DB00056"	"Gemtuzumab ozogamicin"	"approved, investigational"	"P02747"	"Complement C1q subcomponent subunit C"	"C1QC"	NA	"Humans"
"DB00056"	"Gemtuzumab ozogamicin"	"approved, investigational"	"P08637"	"Low affinity immunoglobulin gamma Fc region receptor III-A"	"FCGR3A"	NA	"Humans"
"DB00056"	"Gemtuzumab ozogamicin"	"approved, investigational"	"P09871"	"Complement C1s subcomponent"	"C1S"	NA	"Humans"
"DB00056"	"Gemtuzumab ozogamicin"	"approved, investigational"	"P12314"	"High affinity immunoglobulin gamma Fc receptor I"	"FCGR1A"	NA	"Humans"
"DB00056"	"Gemtuzumab ozogamicin"	"approved, investigational"	"P12318"	"Low affinity immunoglobulin gamma Fc region receptor II-a"	"FCGR2A"	NA	"Humans"
"DB00056"	"Gemtuzumab ozogamicin"	"approved, investigational"	"P31994"	"Low affinity immunoglobulin gamma Fc region receptor II-b"	"FCGR2B"	NA	"Humans"
"DB00056"	"Gemtuzumab ozogamicin"	"approved, investigational"	"P31995"	"Low affinity immunoglobulin gamma Fc region receptor II-c"	"FCGR2C"	NA	"Humans"
"DB00057"	"Indium In-111 satumomab pendetide"	"experimental, withdrawn"	NA	NA	NA	"other/unknown"	"Humans"
